53,5/KL,KL CITY,SEGAMBUT TENGAH, 720.00 , 35.00 ,Kuala Lumpur
54,5/KP,KL CITY,SRI DAMANSARA, 764.00 , 35.00 ,Kuala Lumpur
55,5/KL,KL CITY,TAMAN ANGGERIK CHERAS, 764.00 , 44.00 ,Kuala Lumpur
56,5/KL,KL CITY,TAMAN BOLTON, 792.00 , 35.00 ,Kuala Lumpur
57,5/KL,KL CITY,TAMAN CITY KEPONG, 720.00 , 35.00 ,Kuala Lumpur
58,5/KL,KL CITY,TAMAN DAGANG JAYA AMPANG, 720.00 , 35.00 ,Kuala Lumpur
59,5/KL,KL CITY,TAMAN GEMBIRA, 677.00 , 44.00 ,Kuala Lumpur
60,5/KL,KL CITY,TAMAN GREENWOOD, 764.00 , 44.00 ,Kuala Lumpur
61,5/KL,KL CITY,TAMAN KENCHANA CHERAS, 764.00 , 44.00 ,Kuala Lumpur
62,5/KL,KL CITY,TAMAN KOK DOH, 764.00 , 44.00 ,Kuala Lumpur
63,5/KL,KL CITY,TAMAN MALURI CHERAS, 764.00 , 44.00 ,Kuala Lumpur
64,5/KL,KL CITY,TAMAN MAWAR CHERAS, 677.00 , 44.00 ,Kuala Lumpur
65,5/KL,KL CITY,TAMAN MEGAH CHERAS, 677.00 , 44.00 ,Kuala Lumpur
66,5/KL,KL CITY,TAMAN MIDAH CHERAS, 764.00 , 44.00 ,Kuala Lumpur
67,5/KL,KL CITY,TAMAN SEGAR CHERAS, 677.00 , 44.00 ,Kuala Lumpur
68,5/KL,KL CITY,"TAMAN SHAMELIN,CHERAS BARU", 720.00 , 44.00 ,Kuala Lumpur
69,5/KL,KL CITY,TAMAN SUPREME CHERAS, 764.00 , 44.00 ,Kuala Lumpur
70,5/KL,KL CITY,TAMAN TUN DR ISMAIL, 677.00 , 35.00 ,Kuala Lumpur
71,5/KL,KL CITY,TAMAN TUN RAZAK CHERAS, 764.00 , 44.00 ,Kuala Lumpur
72,5/KL,KL CITY,AMPANG AFTER RISDA, 764.00 , 35.00 ,Kuala Lumpur City Centre
73,5/KL,KL CITY,AMPANG AFTER YOW CHUAN PLAZA B4 RISDA, 720.00 , 35.00 ,Kuala Lumpur City Centre
74,5/KL,KL CITY,AMPANG PARK, 677.00 , 35.00 ,Kuala Lumpur City Centre
75,5/KL,KL CITY,AMPANG UNTIL YOW CHUAN PLAZA, 677.00 , 35.00 ,Kuala Lumpur City Centre
76,5/KL,KL CITY,BANGSAR, 677.00 , 35.00 ,Kuala Lumpur City Centre
77,5/KL,KL CITY,DATUK KERAMAT, 720.00 , 35.00 ,Kuala Lumpur City Centre
78,5/KL,KL CITY,JALAN DATUK SULAIMAN, 677.00 , 44.00 ,Kuala Lumpur City Centre
79,5/KL,KL CITY,JALAN IPOH 1ST AND 2ND MILE, 706.00 , 35.00 ,Kuala Lumpur City Centre
80,5/KL,KL CITY,JALAN LOKE YEW, 677.00 , 35.00 ,Kuala Lumpur City Centre
81,5/KL,KL CITY,JALAN PUDU, 677.00 , 35.00 ,Kuala Lumpur City Centre
82,5/KL,KL CITY,JALAN TUN RAZAK, 677.00 , 35.00 ,Kuala Lumpur City Centre
83,5/KL,KL CITY,KAMPUNG DATUK KERAMAT, 720.00 , 35.00 ,Kuala Lumpur City Centre
84,5/KL,KL CITY,KL CITY CENTRE, 677.00 , 35.00 ,Kuala Lumpur City Centre
85,5/KL,KL CITY,OUTSIDE CITY CENTRE 1-2MILE, 706.00 , 35.00 ,Kuala Lumpur City Centre
86,5/KL,KL CITY,SETAPAK (PEKELILING R/BOUT SEA VOY), 749.00 , 35.00 ,Kuala Lumpur City Centre
87,5/KL,KL CITY,SETAPAK INDUSTRIAL ESTATE / WANGSA MAJU, 749.00 , 35.00 ,Kuala Lumpur City Centre
88,5/KL,KL CITY,SUNGAI BESI / CHAN SOW LIN ABV. JLN 5, 677.00 , 44.00 ,Kuala Lumpur City Centre
89,5/KL,KL CITY,TAMAN DAHLIA CHERAS, 720.00 , 44.00 ,Kuala Lumpur City Centre
90,5/KL,KL CITY,TAMAN DESA JAYA CHERAS, 764.00 , 44.00 ,Kuala Lumpur City Centre
91,5/KP,KL CITY,TMN DESA JAYA KEPONG /  KEPONG / KEPONG BARU, 764.00 , 35.00 ,Kuala Lumpur City Centre
92,5/KL,KL CITY,TAMAN UTANT AMPANG, 677.00 , 35.00 ,Kuala Lumpur City Centre
93,5/KL,KL CITY,TAMAN NIAGA WARIS, 720.00 , 35.00 ,Kuala Lumpur City Centre
94,5/BC,SELANGOR,BATU CAVES UNTIL 8TH MILE, 764.00 , 35.00 ,Selangor
95,5/BC,SELANGOR,BATU CAVES 8TH MILE AND ABOVE, 792.00 , 35.00 ,Selangor
96,5/BK,SELANGOR,BALAKONG, 792.00 , 37.00 ,Selangor
97,5/CR,SELANGOR,JALAN CHERAS ABV. 5TH BELOW 8TH MILE, 764.00 , 44.00 ,Selangor
98,5/CR,SELANGOR,JALAN CHERAS ABV. 8TH MILE BELOW 11TH MILE, 792.00 , 44.00 ,Selangor
99,5/CR,SELANGOR,"JALAN CHERAS ABV. 11TH MILE,SG LONG", 792.00 , 44.00 ,Selangor
100,5/CR,SELANGOR,FINLAND RATTAN ( BEFORE ULU LANGAT ),1052.00, 39.40 ,Selangor
101,5/KS,SELANGOR,SUNGAI BULOH KUALA SELANGOR, 720.00 , 8.00 ,Selangor
102,5/KS,SELANGOR,IJUK, 956.00 , 34.60 ,Selangor
103,5/KS,SELANGOR,KUALA SELANGOR, 980.00 , 8.00 ,Selangor
104,5/KS,SELANGOR,TANJUNG KARANG, 1210.00 , 8.00 ,Selangor
105,5/KS,SELANGOR,SEKINCHAN, 1289.00 , 8.00 ,Selangor
106,5/KS,SELANGOR,SUNGAI BESAR, 1498.00 , 8.00 ,Selangor
107,5/KS,SELANGOR,SABAK BERNAM, 1541.00 , 8.00 ,Selangor
108,5/PC,SELANGOR,PUCHONG, 677.00 , 44.00 ,Selangor
109,5/SK,SELANGOR,SERI PETALING / PETALING / BUKIT JALIL, 720.00 , 35.00 ,Selangor
110,5/SK,SELANGOR,SERDANG LAMA, 720.00 , 58.40 ,Selangor
111,5/SK,SELANGOR,SERDANG BARU UPM, 792.00 , 58.40 ,Selangor
112,5/SK,SELANGOR,SERI KEMBANGAN SERDANG, 792.00 , 44.00 ,Selangor
113,5/SL,SELANGOR,SELAYANG BARU, 792.00 , 35.00 ,Selangor
114,5/SL,SELANGOR,SELAYANG(PASAR), 792.00 , 45.50 ,Selangor
115,6/BG,SELANGOR,BANGI INDUSTRIAL AREA, 1102.00 , 56.00 ,Selangor
116,6/DK,SELANGOR,DENGKIL / TMN MAS SEPANG, 1152.00 , 45.40 ,Selangor
117,6/DK,SELANGOR,GENTING SANYEN, 1152.00 , 45.40 ,Selangor
118,6/DK,SELANGOR,PUTRAJAYA/CYBERJAYA, 1152.00 , 45.40 ,Selangor
119,6/DK,SELANGOR,SALAK TINGGI, 1152.00 , 45.40 ,Selangor
120,6/DK,SELANGOR,SEPANG, 1347.00 , 45.40 ,Selangor
121,6/KJ,SELANGOR,KAJANG, 1083.00 , 61.60 ,Selangor
122,6/KJ,SELANGOR,TAMAN ASA JAYA / SG CHUA, 1083.00 , 59.40 ,Selangor
123,6/KJ,SELANGOR,ULU LANGAT, 1124.00 , 41.60 ,Selangor
124,6/KJ,SELANGOR,SEMENYIH, 1152.00 , 59.40 ,Selangor
125,6/KJ,SELANGOR,KAJANG PERANG BESAR ESTATE, 1534.00 , 61.60 ,Selangor
126,6/RW,SELANGOR,BATANG BERJUNTAI," 1,088.00 ", 34.60 ,Selangor
127,6/RW,SELANGOR,KUANG," 1,152.00 ", 34.60 ,Selangor
128,6/RW,SELANGOR,KUNDANG," 1,152.00 ", 41.60 ,Selangor
129,6/RW,SELANGOR,RAWANG," 1,152.00 ", 41.60 ,Selangor
130,6/RW,SELANGOR,BERANANG," 1,152.00 ", 66.20 ,Selangor
131,6/RW,SELANGOR,SERENDAH," 1,222.00 ", 41.60 ,Selangor
132,6/RW,SELANGOR,RASA ULU SELANGOR," 1,248.00 ", 41.60 ,Selangor
133,6/RW,SELANGOR,BATU ARANG," 1,289.00 ", 41.60 ,Selangor
134,6/RW,SELANGOR,BATANG KALI," 1,318.00 ", 41.60 ,Selangor
135,6/RW,SELANGOR,ULU YAM BARU," 1,318.00 ", 41.60 ,Selangor
136,6/RW,SELANGOR,BUKIT BERUNTUNG," 1,318.00 ", 49.40 ,Selangor
137,6/RW,SELANGOR,KUALA KUBU BARU / KERLING," 1,390.00 ", 41.60 ,Selangor
138,6/RW,SELANGOR,LEMBAH BERINGIN," 1,390.00 ", 59.20 ,Selangor
139,6/SB,SELANGOR,DAMANSARA UTAMA / HEIGHTS, 677.00 , 35.00 ,Selangor
140,6/SB,SELANGOR,SUNGAI BULOH NEW VILLAGE / IND AREA, 706.00 , 32.60 ,Selangor
141,6/SB,SELANGOR,PAYA JARAS, 807.00 , 32.60 ,Selangor
142,6/SG,SELANGOR,KELUMPANG, 1498.00 , 64.80 ,Selangor
143,7/NL,N SEMBILAN,HUALON 2, 960.00 , 0.00 ,Negeri Sembilan
144,7/NS,N SEMBILAN,LENGGENG, 1162.00 , 56.40 ,Negeri Sembilan
145,7/NS,N SEMBILAN,NILAI, 1162.00 , 56.40 ,Negeri Sembilan
146,7/NS,N SEMBILAN,MANTIN, 1299.00 , 56.40 ,Negeri Sembilan
147,7/NS,N SEMBILAN,SENAWANG, 1464.00 , 70.60 ,Negeri Sembilan
148,7/NS,N SEMBILAN,SEREMBAN, 1464.00 , 66.40 ,Negeri Sembilan
149,7/NS,N SEMBILAN,SEREMBAN INDUSTRIAL AREA," 1,464.00 ", 66.40 ,Negeri Sembilan
150,7/NS,N SEMBILAN,REMBAU / CHEMBONG," 1,536.00 ", 79.60 ,Negeri Sembilan
151,7/NS,N SEMBILAN,SILIAU," 1,568.00 ", 79.60 ,Negeri Sembilan
152,7/NS,N SEMBILAN,RANTAU," 1,601.00 ", 70.60 ,Negeri Sembilan
153,7/NS,N SEMBILAN,JELEBU," 1,637.00 ", 70.60 ,Negeri Sembilan
154,7/NS,N SEMBILAN,KUALA PILAH," 1,637.00 ", 92.00 ,Negeri Sembilan
155,7/NS,N SEMBILAN,PORT DICKSON," 1,673.00 ", 91.80 ,Negeri Sembilan
